corrcode,period,corrname,avgtt,reltt,ridership,pmt,avgoccy,daytrips,pct090,ghgavoided,vmtavoided
NWR001,evening,Everett to Seattle,30.44400079,50.2339675,928.3572308,11503.16391,0.368384444,53.22222222,0.015322581,3637.147955,6925.229431
NWR002,evening,Seattle to Everett,29.09677514,47.64894511,10785.0424,122642.5131,0.701356346,309.5694444,0.265732331,55230.72074,73682.03417
NWR003,evening,SeaTac to Seattle,10.15652174,12.85,638.6,4617.522827,0.502329193,23,0,1922.466478,2900.184903
NWR004,evening,Seattle to SeaTac ,18.69,41.26,2677.32,27720.27234,0.706905692,80,0.1375,14096.09791,18881.45
NWR005,evening,Lynnwood to Bellevue,21.20050186,28.6427745,238.0429272,3312.272145,0.345430323,15.31944444,0.000922509,452.195067,1973.18457
NWR006,evening,Bellevue to Lynnwood,24.1052345,38.52133387,1445.585506,23032.31074,0.734736981,52.58333333,0.253091509,13836.20281,18892.8964
NWR007,evening,Tukwila to Bellevue,15.40222646,18.94787679,46.61060606,655.1508867,0.136151333,8.875,0,-64.64002354,431.3032533
NWR008,evening,Bellevue to Tukwila,25.79007099,40.66355713,594.0322001,6194.766393,0.607928294,22.11111111,0.101626016,2798.190505,4195.469891
NWR009,evening,Auburn to Renton,20.08745919,27.51053247,31.17818839,238.6559523,0.1813066,4.847222222,0,34.65596825,179.5224762
NWR010,evening,Renton to Auburn,16.1303986,18.81842537,41.18031283,451.4744286,0.129139414,8.444444444,0,-48.92378766,343.4920553
NWR011,evening,Issaquah to Seattle,17.12962963,34.615,1226.041221,10028.67436,0.46780849,54,0.148148148,4841.683548,7391.028353
NWR012,evening,Seattle to Issaquah,13.40661157,25.8,3901.838333,39847.4885,0.744830338,121,0.355371901,25018.74285,31928.68543
NWR013,evening,Redmond to Seattle,14.26235294,31.06,2230.729524,16117.17089,0.611533356,85,0.188235294,8981.911056,12111.3235
NWR014,evening,Seattle to Redmond,18.28791257,28.23397718,4473.437427,30395.86464,0.69426062,135.8888889,0.242699546,16316.66992,21481.97151
NWR015,evening,Bellevue to Seattle via SR520,9.070512821,15.52,2355.566667,10708.28021,0.634701504,78,0.205128205,5079.976678,6954.137029
NWR016,evening,Seattle to Bellevue via SR520,13.59581289,17.73094632,4622.592427,19749.63582,0.689080989,130.8888889,0.236694363,9583.238849,12726.10368
NWR017,evening,Bellevue to Seattle via I90,17.21724138,27.26,1181.801111,8021.666667,0.771827756,29,0.275862069,4269.241364,5444.526944
NWR018,evening,Seattle to Bellevue via I90,10.69066667,15.97,3026.4,22047.77308,0.89689727,75,0.506666667,14298.8195,17543.55714
NWR019,evening,Redmond to Bellevue,17.53286869,27.41193182,1214.801019,7943.423568,0.629936157,53.43055556,0.185164835,5375.051923,7211.379511
NWR020,evening,Bellevue to Redmond,8.436095707,13.48277876,1469.846421,10390.33736,0.624384413,59.26388889,0.251129418,6108.915897,8311.980294
NWR021,evening,Issaquah to Bellevue,10.75294118,27.035,303.7866059,1912.648143,0.224373974,34,0,336.3969134,1581.04679
NWR022,evening,Bellevue to Issaquah,10.9225,28.11,676.6716667,4600.403157,0.402991892,40,0.075,2250.665502,3678.166918
NWR023,evening,Federal Way to Seattle,17.25673531,25.63818182,914.0928056,10922.94541,0.407510354,44.48611111,0.012105766,4166.253234,6993.280398
NWR024,evening,Seattle to Federal Way,30.61870992,53.09823323,4425.002517,76810.46351,0.651883713,151.0416667,0.125313787,24054.41155,36721.7715
NWR025,evening,Everett to Bellevue,39.62295643,53.9714201,233.9631653,5830.799657,0.346900572,15.31944444,0.000922509,1807.33082,3815.580474
NWR026,evening,Bellevue to Everett,30.31874061,49.46518209,1445.585506,23032.31074,0.734736981,52.58333333,0.253091509,13836.20281,18892.8964
OR001,evening,Olympia to Lacey,,,,,,,,,
OR002,evening,Lacey to Olympia ,6.059855424,8.406256369,7.112336538,105.9001129,0.165100976,1.111111111,0,-7.03144186,80.7787907
OR003,evening,Lacey to Lakewood,,,,,,,,,
OR004,evening,Lakewood to Lacey,27.58364385,45.31598167,39.12328971,436.7374723,0.227524597,5.486111111,0,-49.48625,203.98
OR005,evening,Lakewood to Tacoma,5.62279491,8.37240113,97.08420163,1044.128369,0.37462127,7.569444444,0.035211268,398.3988125,872.526
OR006,evening,Tacoma to Lakewood ,3.324680948,5.43124112,105.390762,2426.129436,0.305166103,9.763888889,0.004559271,814.78275,1678.410719
OR007,evening,Tacoma to Federal Way,13.15064366,17.17344429,84.84935753,1546.147533,0.318177073,5.694444444,0.004987531,467.0902188,889.7455313
OR008,evening,Federal Wa to Tacoma,28.88959839,40.46694643,143.3263441,2327.616701,0.491656085,6.625,0.048034934,797.221,1209.505688
NWR001,morning,Everett to Seattle,24.78853516,42.96935256,12674.21325,125968.9292,0.741522782,329.5,0.298787115,63883.07859,83096.01494
NWR002,morning,Seattle to Everett,19.21763423,30.37543241,652.3563196,7830.933377,0.284837903,50.19444444,0.000284738,2815.930275,7167.17876
NWR003,morning,SeaTac to Seattle,20.93797468,38.43,2545.2,29831.31703,0.662215755,79,0.164556962,14947.97077,20704.72823
NWR004,morning,Seattle to SeaTac ,9.090909091,10.6,463.15,3341.559343,0.386525974,22,0,1198.677952,2130.629221
NWR005,morning,Lynnwood to Bellevue,17.90631678,34.30384549,1878.286876,26813.62492,0.820171189,56.625,0.377444755,17294.63319,22939.73485
NWR006,morning,Bellevue to Lynnwood,17.68736281,22.46876169,112.1207192,1961.565324,0.243610283,11.31944444,0,-148.9353367,1291.326132
NWR007,morning,Tukwila to Bellevue,15.12836793,24.436056,675.6774879,5484.210914,0.752406773,19.75,0.221884498,2727.207908,3798.009858
NWR008,morning,Bellevue to Tukwila,15.01130682,16.71188354,38.75544369,540.0620356,0.155515496,6,0,-3.572181718,377.7233959
NWR009,morning,Auburn to Renton,19.20854476,24.29899784,64.59844061,494.4739628,0.276988083,5.5,0,160.537619,313.7495238
NWR010,morning,Renton to Auburn,10.49483705,13.00119403,16.15802495,192.208716,0.097315231,3.986111111,0,-58.56006349,130.1783492
NWR011,morning,Issaquah to Seattle,12.25522388,24.435,5434.497132,54331.75745,0.76597013,134,0.388059701,28305.70385,36058.11462
NWR012,morning,Seattle to Issaquah,14.26,31.02,1074.932143,8231.03893,0.512823116,45,0.266666667,4576.552759,6663.658911
NWR013,morning,Redmond to Seattle,7.600152859,14.21093573,5024.321389,34116.03978,0.734223874,134.8888889,0.318518519,17754.16784,22712.44962
NWR014,morning,Seattle to Redmond,11.41625,21.8,2062.228333,15530.07275,0.610954844,80,0.2625,9148.479364,12348.70768
NWR015,morning,Bellevue to Seattle via SR520,5.436579375,8.814582983,4944.709722,22308.96979,0.732998536,126.8888889,0.322834646,10751.64198,14027.03063
NWR016,morning,Seattle to Bellevue via SR520,7.168,12.62,2360.683333,10359.66686,0.63711746,75,0.28,4903.892633,6712.847455
NWR017,morning,Bellevue to Seattle via I90,8.707894737,13.05,3762.366667,26374.19497,0.913521215,76,0.5,14194.83734,17379.53928
NWR018,morning,Seattle to Bellevue via I90,12.85185185,17.91,1070.397619,7306.62589,0.797411512,27,0.444444444,4222.468552,5334.323643
NWR019,morning,Redmond to Bellevue,14.78657088,19.64418182,1909.533333,13377.53175,0.660662103,61.83333333,0.320610687,7404.909365,9600.70101
NWR020,morning,Bellevue to Redmond,7.020211996,10.12266344,706.7698387,5221.193316,0.478401735,45.76388889,0.158971181,3918.10822,6077.217083
NWR021,morning,Issaquah to Bellevue,9.324444444,25.28,940.297132,6720.983772,0.433291097,45,0.088888889,2999.830424,4717.150128
NWR022,morning,Bellevue to Issaquah,8.934615385,26.125,121.2583333,710.3297221,0.119870532,26,0,-304.0929011,595.709111
NWR023,morning,Federal Way to Seattle,28.35908826,47.39775,4107.36583,72002.61951,0.60276954,144.4166667,0.11079029,32915.1795,46882.99167
NWR024,morning,Seattle to Federal Way,16.36927462,21.01591409,742.0930663,10127.39728,0.308986035,47.20833333,0.010869565,2609.100334,5759.722472
NWR025,morning,Everett to Bellevue,22.21611952,43.59729248,1878.286876,26813.62492,0.820171189,56.625,0.377444755,17294.63319,22939.73485
NWR026,morning,Bellevue to Everett,33.88635021,40.86785292,111.1207192,2678.167901,0.243610283,11.31944444,0,188.3619889,1767.811974
OR001,morning,Olympia to Lacey,8.792921715,9.676066092,13.9700164,120.1001353,0.158440136,2.305555556,0,-4.148444444,99.84853968
OR002,morning,Lacey to Olympia ,,,,,,,,,
OR003,morning,Lacey to Lakewood,22.01009616,26.8564577,92.68195832,1464.877581,0.32686762,7.166666667,0,421.0914286,983.0838095
OR004,morning,Lakewood to Lacey,,,,,,,,,
OR005,morning,Lakewood to Tacoma,5.156980702,6.729653446,99.2853109,1023.507407,0.358170374,6.25,0.015384615,492.4986349,743.1900635
OR006,morning,Tacoma to Lakewood ,2.236060097,3.047828324,70.06799699,2093.187766,0.274571448,8.055555556,0.013722127,1125.670095,2043.941206
OR007,morning,Tacoma to Federal Way,12.27950894,14.06827446,111.6740963,2034.955048,0.427347735,4.875,0,1014.08127,1415.878254
OR008,morning,Federal Wa to Tacoma,12.03542053,15.04967857,59.86382415,972.1871977,0.243183624,5.694444444,0,202.8840317,573.1870476
